name,item_id,volume_m3
Antimatter Reactor Unit,11549,1.0
EM Pulse Generator,11694,1.0
Fusion Thruster,11532,1.0
Laser Focusing Crystals,11689,1.0
Linear Shield Emitter,11557,1.0
Nanoelectrical Microprocessor,11539,1.0
Radar Sensor Cluster,11537,1.0
Tesseract Capacitor Unit,11554,1.0
Tungsten Carbide Armor Plate,11543,1.0
Gravimetric Sensor Cluster,11534,1.0
Graviton Pulse Generator,11693,1.0
Graviton Reactor Unit,11550,1.0
Magpulse Thruster,11533,1.0
Quantum Microprocessor,11540,1.0
Scalar Capacitor Unit,11552,1.0
Superconductor Rails,11690,1.0
Sustained Shield Emitter,11558,1.0
Titanium Diborite Armor Plate,11544,1.0
Crystalline Carbonide Armor Plate,11545,1.0
Fusion Reactor Unit,11547,1.0
Ion Thruster,11531,1.0
Magnetometric Sensor Cluster,11535,1.0
Oscillator Capacitor Unit,11553,1.0
Particle Accelerator Unit,11688,1.0
Photon Microprocessor,11541,1.0
Plasma Pulse Generator,11695,1.0
Pulse Shield Emitter,11556,1.0
Deflection Shield Emitter,11555,1.0
Electrolytic Capacitor Unit,11551,1.0
Fernite Carbide Composite Armor Plate,11542,1.0
Ladar Sensor Cluster,11536,1.0
Nanomechanical Microprocessor,11538,1.0
Nuclear Pulse Generator,11692,1.0
Nuclear Reactor Unit,11548,1.0
Plasma Thruster,11530,1.0
Thermonuclear Trigger Unit,11691,1.0
