name,item_id,volume_m3
Caesarium Cadmide,16663,0.2
Carbon Fiber,57453,0.2
Carbon Polymers,16659,0.2
Ceramic Powder,16660,0.2
Crystallite Alloy,16655,0.2
Dysporite,16668,0.2
Fernite Alloy,16656,0.2
Ferrofluid,16669,0.2
Fluxed Condensates,17769,0.2
Hexite,16665,0.2
Hyperflurite,16666,0.2
Neo Mercurite,16667,0.2
Oxy-Organic Solvents,57454,0.1
Platinum Technite,16662,0.2
Promethium Mercurite,33337,0.2
Prometium,17960,0.2
Rolled Tungsten Alloy,16657,0.2
Silicon Diborite,16658,0.2
Solerium,16664,0.2
Sulfuric Acid,16661,0.2
Thermosetting Polymer,57455,0.2
Thulium Hafnite,33336,0.2
Titanium Chromide,16654,0.2
Vanadium Hafnite,17959,0.2
