name,item_id,volume_m3
Broadcast Node,2867,50.0
Integrity Response Drones,2868,50.0
Nano-Factory,2869,50.0
Organic Mortar Applicators,2870,50.0
Recursive Computing Module,2871,50.0
Self-Harmonizing Power Core,2872,50.0
Sterile Conduits,2875,50.0
Wetware Mainframe,2876,50.0
Bacteria,2393,0.19
Biofuels,2396,0.19
Biomass,3779,0.19
Chiral Structures,2401,0.19
Electrolytes,2390,0.19
Industrial Fibers,2397,0.19
Oxidizing Compound,2392,0.19
Oxygen,3683,0.19
Plasmoids,2389,0.19
Precious Metals,2399,0.19
Proteins,2395,0.19
Reactive Metals,2398,0.19
Silicon,9828,0.19
Toxic Metals,2400,0.19
Water,3645,0.19
Aqueous Liquids,2268,0.005
Autotrophs,2305,0.005
Base Metals,2267,0.005
Carbon Compounds,2288,0.005
Complex Organisms,2287,0.005
Felsic Magma,2307,0.005
Heavy Metals,2272,0.005
Ionic Solutions,2309,0.005
Microorganisms,2073,0.005
Noble Gas,2310,0.005
Noble Metals,2270,0.005
Non-CS Crystals,2306,0.005
Planktic Colonies,2286,0.005
Reactive Gas,2311,0.005
Suspended Plasma,2308,0.005
Biocells,2329,0.75
Construction Blocks,3828,0.75
Consumer Electronics,9836,0.75
Coolant,9832,0.75
Enriched Uranium,44,0.75
Fertilizer,3693,0.75
Genetically Enhanced Livestock,15317,0.75
Livestock,3725,0.75
Mechanical Parts,3689,0.75
Microfiber Shielding,2327,0.75
Miniature Electronics,9842,0.75
Nanites,2463,0.75
Oxides,2317,0.75
Polyaramids,2321,0.75
Polytextiles,3695,0.75
Rocket Fuel,9830,0.75
Silicate Glass,3697,0.75
Superconductors,9838,0.75
Supertensile Plastics,2312,0.75
Synthetic Oil,3691,0.75
Test Cultures,2319,0.75
Transmitter,9840,0.75
Viral Agent,3775,0.75
Water-Cooled CPU,2328,0.75
Biotech Research Reports,2358,3.0
Camera Drones,2345,3.0
Condensates,2344,3.0
Cryoprotectant Solution,2367,3.0
Data Chips,17392,3.0
Gel-Matrix Biopaste,2348,3.0
Guidance Systems,9834,3.0
Hazmat Detection Systems,2366,3.0
Hermetic Membranes,2361,3.0
High-Tech Transmitters,17898,3.0
Industrial Explosives,2360,3.0
Neocoms,2354,3.0
Nuclear Reactors,2352,3.0
Planetary Vehicles,9846,3.0
Robotics,9848,3.0
Smartfab Units,2351,3.0
Supercomputers,2349,3.0
Synthetic Synapses,2346,3.0
Transcranial Microcontrollers,12836,3.0
Ukomi Superconductors,17136,3.0
Vaccines,28974,3.0
