name,item_id,volume_m3,BPO_name,BPO_id,materials,base_time,quantity
Crystalline Carbonide,16670,0.01,,46205,"[{""type_id"": 4247, ""quantity"": 5}, {""type_id"": 16655, ""quantity"": 100}, {""type_id"": 16659, ""quantity"": 100}]",10800,10000
Fermionic Condensates,17317,1.3,,46214,"[{""type_id"": 4247, ""quantity"": 5}, {""type_id"": 16663, ""quantity"": 100}, {""type_id"": 16668, ""quantity"": 100}, {""type_id"": 17769, ""quantity"": 100}, {""type_id"": 17960, ""quantity"": 100}]",10800,200
Fernite Carbide,16673,0.01,,46206,"[{""type_id"": 4246, ""quantity"": 5}, {""type_id"": 16656, ""quantity"": 100}, {""type_id"": 16660, ""quantity"": 100}]",10800,10000
Ferrogel,16683,1.0,,46213,"[{""type_id"": 4246, ""quantity"": 5}, {""type_id"": 16665, ""quantity"": 100}, {""type_id"": 16666, ""quantity"": 100}, {""type_id"": 16669, ""quantity"": 100}, {""type_id"": 17960, ""quantity"": 100}]",10800,400
Fullerides,16679,0.15,,46209,"[{""type_id"": 4051, ""quantity"": 5}, {""type_id"": 16659, ""quantity"": 100}, {""type_id"": 16662, ""quantity"": 100}]",10800,3000
Hypersynaptic Fibers,16682,0.6,,46212,"[{""type_id"": 4312, ""quantity"": 5}, {""type_id"": 16664, ""quantity"": 100}, {""type_id"": 16668, ""quantity"": 100}, {""type_id"": 17959, ""quantity"": 100}]",10800,750
Nanotransistors,16681,0.25,,46211,"[{""type_id"": 4051, ""quantity"": 5}, {""type_id"": 16661, ""quantity"": 100}, {""type_id"": 16662, ""quantity"": 100}, {""type_id"": 16667, ""quantity"": 100}]",10800,1500
Nonlinear Metamaterials,33362,1.0,,46218,"[{""type_id"": 4051, ""quantity"": 5}, {""type_id"": 16654, ""quantity"": 100}, {""type_id"": 16669, ""quantity"": 100}]",10800,300
Phenolic Composites,16680,0.2,,46210,"[{""type_id"": 4312, ""quantity"": 5}, {""type_id"": 16658, ""quantity"": 100}, {""type_id"": 16663, ""quantity"": 100}, {""type_id"": 17959, ""quantity"": 100}]",10800,2200
Photonic Metamaterials,33359,1.0,,46217,"[{""type_id"": 4312, ""quantity"": 5}, {""type_id"": 16655, ""quantity"": 100}, {""type_id"": 33336, ""quantity"": 100}]",10800,300
Plasmonic Metamaterials,33361,1.0,,46215,"[{""type_id"": 4246, ""quantity"": 5}, {""type_id"": 16656, ""quantity"": 100}, {""type_id"": 16667, ""quantity"": 100}]",10800,300
Pressurized Oxidizers,57456,0.1,,57492,"[{""type_id"": 16659, ""quantity"": 200}, {""type_id"": 16661, ""quantity"": 200}, {""type_id"": 57454, ""quantity"": 1}]",10800,200
Reinforced Carbon Fiber,57457,0.1,,57493,"[{""type_id"": 57453, ""quantity"": 200}, {""type_id"": 57454, ""quantity"": 1}, {""type_id"": 57455, ""quantity"": 200}]",10800,200
Sylramic Fibers,16678,0.05,,46208,"[{""type_id"": 4247, ""quantity"": 5}, {""type_id"": 16660, ""quantity"": 100}, {""type_id"": 16665, ""quantity"": 100}]",10800,6000
Terahertz Metamaterials,33360,1.0,,46216,"[{""type_id"": 4247, ""quantity"": 5}, {""type_id"": 16657, ""quantity"": 100}, {""type_id"": 33337, ""quantity"": 100}]",10800,300
Titanium Carbide,16671,0.01,,46204,"[{""type_id"": 4312, ""quantity"": 5}, {""type_id"": 16654, ""quantity"": 100}, {""type_id"": 16658, ""quantity"": 100}]",10800,10000
Tungsten Carbide,16672,0.01,,46207,"[{""type_id"": 4051, ""quantity"": 5}, {""type_id"": 16657, ""quantity"": 100}, {""type_id"": 16661, ""quantity"": 100}]",10800,10000
